,precision@10,MAP
401,0.7,0.20901495277910392
402,1.0,0.12139412699947756
403,1.0,0.11351974313213845
404,0.4,0.20427515356421913
405,0.2,0.0660682213508248
406,0.4,0.04510018207079959
407,0.6,0.11731553128422041
408,0.4,0.17198997001732202
409,0.5,0.0646832043735036
410,1.0,0.2342473060827693
411,0.5,0.07509824119085542
412,0.7,0.14718823771307366
413,0.9,0.12417923795946424
414,0.4,0.09569893491237842
415,1.0,0.2963325190838091
416,0.6,0.13708728148703067
417,0.7,0.11908885109805499
418,0.7,0.2295788665507588
419,0.2,0.042616896146325044
420,0.3,0.07466229789843543
421,0.0,0.05707620340468171
422,0.6,0.22791961615455913
423,0.8,0.09682773885145712
424,0.7,0.20874570871272688
425,0.9,0.29028056176624145
426,0.4,0.12811531168143778
427,0.5,0.1016768587294462
428,0.2,0.1910094246292528
429,0.3,0.05239814263173473
430,0.4,0.06959440333232532
431,0.8,0.2249507432343499
432,0.0,0.008909450230969628
433,0.0,0.015874507971282804
434,0.9,0.3996350648369106
435,0.1,0.13476375241160346
436,0.2,0.12254404095588615
437,0.0,0.05840995755122994
438,0.2,0.19938443378592985
439,0.1,0.09231920215538739
440,0.3,0.12001869439712759
441,0.8,0.09029215331617986
442,0.0,0.051016958167412314
443,0.2,0.12175750528137139
444,0.8,0.10440441483579113
445,0.2,0.12194829807320264
446,0.5,0.21590888732054156
447,0.2,0.06263436604876406
448,0.1,0.0359731045768788
449,0.3,0.07575820905502977
450,0.9,0.483456906768803
