query_id,MAP_0,MAP_1,MAP_2,MAP_3,MAP_4,MAP_5,MAP_6,MAP_7,MAP_8,MAP_9,MAP_10,MAP_11,MAP_12,MAP_13,MAP_14,Overall Precision@10
401,0.4139226687176498,0.5425077040332104,0.37898287484193216,,0.059724427261187374,0.19567032047343103,0.05301254491411105,0.13949134196789087,0.04850991840011603,0.1299344347979798,0.17348147117171528,0.10979021601942625,0.06138251952836282,0.886493793299371,0.17509232479797074,0.24057118287316817
402,0.4776457502451202,0.43307624182860244,0.29388116222726834,,0.2732107928622569,0.2915484373948227,0.26012910980114595,0.1855076086867145,0.0442495849897891,0.4467941788737124,0.30102857170818986,0.48134189347346296,0.14073052844194048,0.6675208956585474,0.24923386989753674,0.3247070447206507
403,0.8972102460596331,0.8277095756050444,0.8193715416072779,0.13333333333333333,0.9044918849066315,0.8638400556374474,0.8825522144341607,0.7414827515224844,,0.7547062600855171,0.8332501959602799,0.8721353722212942,0.8028125646001824,0.6666666666666666,0.7379604520127881,0.76696593676091
404,0.27644448374512376,0.27849457286334117,0.2422443802542615,0.29166666666666663,0.25451883553906857,0.244821822336368,0.2676090767746769,0.21981200454426078,,0.25314335268165666,0.2913941490664004,0.30979585338852667,0.2725385703510772,1.0,0.23308465110868062,0.316826315665722
405,0.1978621161688092,0.3592308756667574,0.21527155133434564,,0.335480986866473,0.3469338541300224,0.3082310547055202,0.1775943955386464,,0.21622473880603219,0.20805928729890857,0.15869294037414086,0.2502813171426596,0.6594122544122544,0.17303277001584424,0.27740831865080107
406,0.40883868167149895,0.4541276655054404,0.49837971769237954,,0.45187884841300296,0.44538734764145305,0.3994702219438197,0.3881658917833265,,0.24935390882320552,0.4849980420928541,0.40914313067900354,0.4376707805486674,0.8666666666666667,0.4387677116510068,0.4563729703932558
407,0.4097695840463748,0.5704759263388736,0.5961858179800723,0.8875,0.5088972324087206,0.5265379106982256,0.36538733148971875,0.4545148353565826,,0.3395024510611383,0.40944692254011145,0.4846482982824449,0.507206011081433,0.8435720844811755,0.5080106445368666,0.5294039321644098
408,0.4245356370596199,0.3781425478196543,0.2907603318128511,0.5,0.4099630827227456,0.2779052550100108,0.366201293264399,0.3202165219252807,,0.3456859176236212,0.4197884144636117,0.3640362786488203,0.339855969739041,0.9958333333333333,0.25813216961258617,0.4065040537882553
409,0.27759535116215867,0.23376048296898072,0.18607751383385832,,0.17777391040007423,0.27315677168590885,0.09760116649105688,0.2721820244089627,,0.23089933756213965,0.21271678290340593,0.20146218472120683,0.09200358346336798,1.0,0.06077418261176904,0.25507717632406846
410,0.9186372998659448,0.8349992151204465,0.8852522302985162,0.5833333333333333,0.9102984386038043,0.884489452341123,0.9088090081316456,0.9211548046229223,,0.7624030167908085,0.8828585471637764,0.7987580322382799,0.8910114294389169,0.5336226818146308,0.8752273751638087,0.827918204637711
